"","HGNC","HGNCGeneName","GeneID","Chromosome","StartBP","EndBP","WidthBP","CanonicalTranscript","ProteinTranscript","SYMBOL","chromosome_name","LowExpressionFlag"
"GeneID:10404","CPQ","carboxypeptidase Q","GeneID:10404","8",96645227,97143503,498277,"NM_016134","NP_057218","CPQ","8",TRUE
"GeneID:6360","CCL16","chemokine (C-C motif) ligand 16","GeneID:6360","17",35976499,35981487,4989,"NM_004590","NP_004581","CCL16","17",FALSE
"GeneID:23593","HEBP2","heme binding protein 2","GeneID:23593","6",138404199,138413445,9247,"NM_014320","NP_055135","HEBP2","6",TRUE
"GeneID:220979","C10orf25","chromosome 10 open reading frame 25","GeneID:220979","10",44997698,45001022,3325,"NM_001039380","NP_001034469","C10orf25","10",TRUE
"GeneID:100616193","MIR4453","microRNA 4453","GeneID:100616193","4",152536428,152536516,89,"NR_039658","","MIR4453","4",TRUE
"GeneID:140775","SMCR8","","GeneID:140775","17",18315280,18328056,12777,"NM_144775","NP_658988","SMCR8","17",TRUE
"GeneID:149111","CNIH3","cornichon family AMPA receptor auxiliary protein 3","GeneID:149111","1",224616477,224740547,124071,"NM_152495","NP_689708","CNIH3","1",TRUE
"GeneID:150290","DUSP18","dual specificity phosphatase 18","GeneID:150290","22",30662052,30667885,5834,"NM_152511","NP_689724","DUSP18","22",TRUE
"GeneID:102723645","LOC102723645","uncharacterized LOC102723645","GeneID:102723645","4",21520727,21528269,7543,"XR_427497","","LOC102723645",NA,FALSE
"GeneID:5921","RASA1","RAS p21 protein activator (GTPase activating protein) 1","GeneID:5921","5",87268253,87391926,123674,"NM_002890","NP_002881","RASA1","5",FALSE
"GeneID:100130950","LOC100130950","uncharacterized LOC100130950","GeneID:100130950","17",5192084,5235636,43553,"NR_034082","","LOC100130950","17",FALSE
"GeneID:154907","C7orf66","chromosome 7 open reading frame 66","GeneID:154907","7",108883981,108884580,600,"NM_001024607","NP_001019778","C7orf66","7",FALSE
"GeneID:149351","LOC149351","uncharacterized LOC149351","GeneID:149351","1",90830079,90836161,6083,"XR_132798","","LOC149351","1",TRUE
"GeneID:23155","CLCC1","chloride channel CLIC-like 1","GeneID:23155","1",108929508,108963499,33992,"NM_001048210","NP_001041675","CLCC1","1",TRUE
"GeneID:102800310","HAGLROS","HAGLR opposite strand (non-protein coding)","GeneID:102800310","2",176178166,176179009,844,"NR_110457","","HAGLROS","2",TRUE
"GeneID:6285","S100B","S100 calcium binding protein B","GeneID:6285","21",46598618,46605122,6505,"NM_006272","NP_006263","S100B","21",TRUE
"GeneID:724031","MIR661","microRNA 661","GeneID:724031","8",143945191,143945279,89,"NR_030383","","MIR661","8",FALSE
"GeneID:84057","MND1","meiotic nuclear divisions 1 homolog (S. cerevisiae)","GeneID:84057","4",153344649,153415095,70447,"NM_032117","NP_115493","MND1","4",TRUE
"GeneID:102724713","LOC102724713","uncharacterized LOC102724713","GeneID:102724713","KI270734.1",17691,19060,1370,"XR_430600","","LOC102724713",NA,FALSE
"GeneID:496","ATP4B","ATPase, H+/K+ exchanging, beta polypeptide","GeneID:496","13",113648804,113658198,9395,"NM_000705","NP_000696","ATP4B","13",FALSE
"GeneID:541466","CT45A1","cancer/testis antigen family 45, member A1","GeneID:541466","X",135713453,135723226,9774,"NM_001017417","NP_001017417","CT45A1","X",TRUE
"GeneID:101929941","LOC101929941","zinc finger homeobox protein 4-like","GeneID:101929941","17",56780394,56780816,423,"XM_005276631","XP_005276688","LOC101929941",NA,TRUE
"GeneID:3097","HIVEP2","human immunodeficiency virus type I enhancer binding protein 2","GeneID:3097","6",142751467,142945201,193735,"NM_006734","NP_006725","HIVEP2","6",TRUE
"GeneID:400680","LINC00664","long intergenic non-protein coding RNA 664","GeneID:400680","19",21483715,21503238,19524,"NR_037194","","LINC00664","19",TRUE
"GeneID:100996379","LOC100996379","E3 ubiquitin-protein ligase HERC2-like","GeneID:100996379","15",20515913,20519015,3103,"XM_006720359","XP_006720422","LOC100996379","15",TRUE
"GeneID:353322","ANKRD37","ankyrin repeat domain 37","GeneID:353322","4",185396686,185400236,3551,"NM_181726","NP_859077","ANKRD37","4",FALSE
"GeneID:4234","METTL1","methyltransferase like 1","GeneID:4234","12",57768568,57772131,3564,"NM_005371","NP_005362","METTL1","12",FALSE
"GeneID:101929384","LOC101929384","uncharacterized LOC101929384","GeneID:101929384","12",203645,205093,1449,"XR_242993","","LOC101929384","12",TRUE
"GeneID:23148","NACAD","NAC alpha domain containing","GeneID:23148","7",45080437,45088894,8458,"NM_001146334","NP_001139806","NACAD","7",TRUE
"GeneID:79970","ZNF767P","zinc finger family member 767, pseudogene","GeneID:79970","7",149547154,149624790,77637,"NR_027788","","ZNF767P","7",TRUE
"GeneID:337985","KRTAP20-3","keratin associated protein 20-3","GeneID:337985","21",30642864,30643136,273,"NM_001128077","NP_001121549","KRTAP20-3","21",FALSE
"GeneID:83863","TTTY5","testis-specific transcript, Y-linked 5 (non-protein coding)","GeneID:83863","Y",22296798,22298876,2079,"NR_001541","","TTTY5","Y",FALSE
"GeneID:55668","GPATCH2L","G patch domain containing 2-like","GeneID:55668","14",76154354,76212803,58450,"NM_017972","NP_060442","GPATCH2L","14",TRUE
"GeneID:5455","POU3F3","POU class 3 homeobox 3","GeneID:5455","2",104855511,104857013,1503,"NM_006236","NP_006227","POU3F3","2",TRUE
"GeneID:2909","ARHGAP35","Rho GTPase activating protein 35","GeneID:2909","19",46918676,47005077,86402,"NM_004491","NP_004482","ARHGAP35","19",FALSE
"GeneID:8793","TNFRSF10D","tumor necrosis factor receptor superfamily, member 10d, decoy with truncated death domain","GeneID:8793","8",23135588,23164030,28443,"NM_003840","NP_003831","TNFRSF10D","8",FALSE
"GeneID:8390","OR1G1","olfactory receptor, family 1, subfamily G, member 1","GeneID:8390","17",3126610,3127551,942,"NM_003555","NP_003546","OR1G1","17",FALSE
"GeneID:101928907","LOC101928907","uncharacterized LOC101928907","GeneID:101928907","15",62060503,62061726,1224,"XR_248115","","LOC101928907","15",TRUE
"GeneID:29106","SCG3","secretogranin III","GeneID:29106","15",51681353,51721026,39674,"NM_013243","NP_037375","SCG3","15",FALSE
"GeneID:4176","MCM7","minichromosome maintenance complex component 7","GeneID:4176","7",100092728,100101940,9213,"NM_005916","NP_005907","MCM7","7",FALSE
"GeneID:100874296","KCNH1-IT1","KCNH1 intronic transcript 1 (non-protein coding)","GeneID:100874296","1",211132281,211133422,1142,"XR_426895","","KCNH1-IT1","1",TRUE
"GeneID:100303755","PET117","PET117 homolog (S. cerevisiae)","GeneID:100303755","20",18137855,18143169,5315,"NM_001164811","NP_001158283","PET117","20",FALSE
"GeneID:5739","PTGIR","prostaglandin I2 (prostacyclin) receptor (IP)","GeneID:5739","19",46620468,46625097,4630,"NM_000960","NP_000951","PTGIR","19",TRUE
"GeneID:84666","RETNLB","resistin like beta","GeneID:84666","3",108755639,108757283,1645,"NM_032579","NP_115968","RETNLB","3",FALSE
"GeneID:100996694","LOC100996694","uncharacterized LOC100996694","GeneID:100996694","4",119939540,119964293,24754,"XR_158972","","LOC100996694","4",FALSE
"GeneID:158314","LINC00475","long intergenic non-protein coding RNA 475","GeneID:158314","9",92141467,92159608,18142,"NR_027341","","LINC00475","9",TRUE
"GeneID:100287226","ZNF729","zinc finger protein 729","GeneID:100287226","19",22286450,22317176,30727,"NM_001242680","NP_001229609","ZNF729","19",FALSE
"GeneID:170425","LINC00858","long intergenic non-protein coding RNA 858","GeneID:170425","10",84279980,84294659,14680,"NR_038220","","LINC00858","10",FALSE
"GeneID:101930421","LOC101930421","uncharacterized LOC101930421","GeneID:101930421","10",628595,631255,2661,"XR_428654","","LOC101930421","10",FALSE
"GeneID:79969","ATAT1","alpha tubulin acetyltransferase 1","GeneID:79969","6",30626886,30646821,19936,"NM_001031722","NP_001026892","ATAT1","6",TRUE
"GeneID:102546227","LINC01340","long intergenic non-protein coding RNA 1340","GeneID:102546227","5",97504696,97671051,166356,"NR_105028","","LINC01340","5",TRUE
"GeneID:8944","SNORD73A","small nucleolar RNA, C/D box 73A","GeneID:8944","4",151103827,151103891,65,"NR_000007","","SNORD73A","4",FALSE
"GeneID:102724664","LOC102724664","uncharacterized LOC102724664","GeneID:102724664","6",21764624,21770561,5938,"XR_427889","","LOC102724664",NA,FALSE
"GeneID:284577","LOC284577","uncharacterized LOC284577","GeneID:284577","1",205455922,205469058,13137,"XR_241178","","LOC284577","1",FALSE
"GeneID:84062","DTNBP1","dystrobrevin binding protein 1","GeneID:84062","6",15522801,15663058,140258,"NM_032122","NP_115498","DTNBP1","6",TRUE
"GeneID:79170","PRR15L","proline rich 15-like","GeneID:79170","17",47951967,47957877,5911,"NM_024320","NP_077296","PRR15L","17",TRUE
"GeneID:84210","ANKRD20A1","ankyrin repeat domain 20 family, member A1","GeneID:84210","9",67859315,67902394,43080,"NM_032250","NP_115626","ANKRD20A1","9",FALSE
"GeneID:103695364","PKNOX2-AS1","PKNOX2 antisense RNA 1 (head to head)","GeneID:103695364","11",125158461,125164609,6149,"NR_125759","","PKNOX2-AS1","11",TRUE
"GeneID:57062","DDX24","","GeneID:57062","14",94050922,94081212,30291,"NM_020414","NP_065147","DDX24","14",FALSE
"GeneID:101929411","LOC101929411","uncharacterized LOC101929411","GeneID:101929411","3",102163705,102164871,1167,"XR_241528","","LOC101929411","3",FALSE
"GeneID:100874081","FGF14-AS1","FGF14 antisense RNA 1","GeneID:100874081","13",102367523,102373749,6227,"XR_243066","","FGF14-AS1","13",FALSE
"GeneID:100616386","MIR4654","microRNA 4654","GeneID:100616386","1",162157107,162157182,76,"NR_039798","","MIR4654","1",FALSE
"GeneID:26986","PABPC1","poly(A) binding protein, cytoplasmic 1","GeneID:26986","8",100702916,100722087,19172,"NM_002568","NP_002559","PABPC1","8",TRUE
"GeneID:3433","IFIT2","interferon-induced protein with tetratricopeptide repeats 2","GeneID:3433","10",89301949,89309276,7328,"NM_001547","NP_001538","IFIT2","10",TRUE
"GeneID:51111","SUV420H1","suppressor of variegation 4-20 homolog 1 (Drosophila)","GeneID:51111","11",68156040,68213317,57278,"NM_017635","NP_060105","SUV420H1","11",FALSE
"GeneID:102724014","LOC102724014","spidroin-1-like","GeneID:102724014","KI270728.1",1344740,1346320,1581,"XM_006724910","XP_006724973","LOC102724014","16",TRUE
"GeneID:221981","THSD7A","thrombospondin, type I, domain containing 7A","GeneID:221981","7",11370435,11832198,461764,"NM_015204","NP_056019","THSD7A","7",FALSE
"GeneID:286359","LOC286359","uncharacterized LOC286359","GeneID:286359","9",97390836,97396691,5856,"NR_026847","","LOC286359","9",TRUE
"GeneID:338699","ANKRD42","ankyrin repeat domain 42","GeneID:338699","11",83194249,83248971,54723,"NM_182603","NP_872409","ANKRD42","11",TRUE
"GeneID:81490","PTDSS2","phosphatidylserine synthase 2","GeneID:81490","11",450280,491387,41108,"NM_030783","NP_110410","PTDSS2","11",TRUE
"GeneID:101928747","LOC101928747","uncharacterized LOC101928747","GeneID:101928747","X",136874661,136879312,4652,"XR_244543","","LOC101928747",NA,FALSE
"GeneID:100313843","MIR711","microRNA 711","GeneID:100313843","3",48578902,48578977,76,"NR_031756","","MIR711","3",FALSE
"GeneID:100873945","HLTF-AS1","HLTF antisense RNA 1","GeneID:100873945","3",149086332,149102823,16492,"NR_046648","","HLTF-AS1","3",FALSE
"GeneID:100130876","LOC100130876","uncharacterized LOC100130876","GeneID:100130876","17",940349,943530,3182,"XR_429832","","LOC100130876","17",TRUE
"GeneID:80034","CSRNP3","cysteine-serine-rich nuclear protein 3","GeneID:80034","2",165572336,165689407,117072,"NM_024969","NP_079245","CSRNP3","2",TRUE
"GeneID:55690","PACS1","phosphofurin acidic cluster sorting protein 1","GeneID:55690","11",66070353,66244747,174395,"NM_018026","NP_060496","PACS1","11",FALSE
"GeneID:388335","TMEM220","transmembrane protein 220","GeneID:388335","17",10713322,10730329,17008,"NM_001004313","NP_001004313","TMEM220","17",FALSE
"GeneID:1437","CSF2","colony stimulating factor 2 (granulocyte-macrophage)","GeneID:1437","5",132073792,132076170,2379,"NM_000758","NP_000749","CSF2","5",TRUE
"GeneID:117157","SH2D1B","SH2 domain containing 1B","GeneID:117157","1",162395266,162412138,16873,"NM_053282","NP_444512","SH2D1B","1",TRUE
"GeneID:1124","CHN2","chimerin 2","GeneID:1124","7",29194505,29514328,319824,"NM_004067","NP_004058","CHN2","7",TRUE
"GeneID:401089","FOXL2NB","FOXL2 neighbor","GeneID:401089","3",138947234,138953988,6755,"NM_001040061","NP_001035150","FOXL2NB","3",TRUE
"GeneID:403340","MGC70870","C-terminal binding protein 2 pseudogene","GeneID:403340","GL000205.2",54857,57966,3110,"NR_003682","","MGC70870","17",TRUE
"GeneID:8859","STK19","","GeneID:8859","6",31971869,31981446,9578,"NM_032454","NP_115830","STK19","6",TRUE
"GeneID:7101","NR2E1","nuclear receptor subfamily 2, group E, member 1","GeneID:7101","6",108168023,108188809,20787,"NM_001286102","NP_001273031","NR2E1","6",FALSE
"GeneID:4088","SMAD3","SMAD family member 3","GeneID:4088","15",67065857,67195195,129339,"NM_005902","NP_005893","SMAD3","15",TRUE
"GeneID:163702","IFNLR1","interferon, lambda receptor 1","GeneID:163702","1",24154157,24187275,33119,"NM_170743","NP_734464","IFNLR1","1",FALSE
"GeneID:80054","CEBPA-AS1","CEBPA antisense RNA 1 (head to head)","GeneID:80054","19",33302857,33305057,2201,"NR_026887","","CEBPA-AS1","19",FALSE
"GeneID:2289","FKBP5","FK506 binding protein 5","GeneID:2289","6",35573585,35688942,115358,"NM_004117","NP_004108","FKBP5","6",FALSE
"GeneID:7979","SHFM1","split hand/foot malformation (ectrodactyly) type 1","GeneID:7979","7",96688767,96709891,21125,"NM_006304","NP_006295","SHFM1","7",FALSE
"GeneID:100271846","ERVV-2","endogenous retrovirus group V, member 2","GeneID:100271846","19",53044738,53051127,6390,"NM_001191055","NP_001177984","ERVV-2","19",TRUE
"GeneID:117246","FTSJ3","FtsJ homolog 3 (E. coli)","GeneID:117246","17",63819433,63827671,8239,"NM_017647","NP_060117","FTSJ3","17",FALSE
"GeneID:102724150","LOC102724150","uncharacterized LOC102724150","GeneID:102724150","X",89403145,89457637,54493,"XR_433762","","LOC102724150","X",TRUE
"GeneID:57466","SCAF4","SR-related CTD-associated factor 4","GeneID:57466","21",31671000,31732118,61119,"NM_020706","NP_065757","SCAF4","21",TRUE
"GeneID:102725495","LOC102725495","uncharacterized LOC102725495","GeneID:102725495","10",46106699,46107290,592,"XR_424122","","LOC102725495",NA,FALSE
"GeneID:102724194","LOC102724194","uncharacterized LOC102724194","GeneID:102724194","2",174332661,174333794,1134,"XR_425492","","LOC102724194","2",TRUE
"GeneID:23586","DDX58","DEAD (Asp-Glu-Ala-Asp) box polypeptide 58","GeneID:23586","9",32455302,32526324,71023,"NM_014314","NP_055129","DDX58","9",FALSE
"GeneID:100507458","ZNF213-AS1","ZNF213 antisense RNA 1 (head to head)","GeneID:100507458","16",3125529,3134882,9354,"NR_110900","","ZNF213-AS1","16",TRUE
"GeneID:102466873","MIR8052","microRNA 8052","GeneID:102466873","11",130666735,130666803,69,"NR_107019","","MIR8052","11",FALSE
"GeneID:101060386","LOC101060386","serine/threonine-protein kinase SMG1-like","GeneID:101060386","16",22437023,22462181,25159,"XM_006726631","XP_006726694","LOC101060386","16",TRUE
"GeneID:100616196","MIR4525","microRNA 4525","GeneID:100616196","17",82668233,82668307,75,"NR_039751","","MIR4525","17",FALSE
"GeneID:219970","GLYATL2","glycine-N-acyltransferase-like 2","GeneID:219970","11",58834065,58844524,10460,"NM_145016","NP_659453","GLYATL2","11",TRUE
"GeneID:8904","CPNE1","copine I","GeneID:8904","20",35626031,35664956,38926,"NM_152926","NP_690903","CPNE1","20",TRUE
"GeneID:9652","TTC37","tetratricopeptide repeat domain 37","GeneID:9652","5",95463895,95555005,91111,"NM_014639","NP_055454","TTC37","5",FALSE
"GeneID:6049","RNF6","ring finger protein (C3H2C3 type) 6","GeneID:6049","13",26212768,26222371,9604,"NM_005977","NP_005968","RNF6","13",FALSE
"GeneID:2863","GPR39","","GeneID:2863","2",132416574,132646596,230023,"NM_001508","NP_001499","GPR39","2",TRUE
"GeneID:23038","WDTC1","WD and tetratricopeptide repeats 1","GeneID:23038","1",27234516,27308633,74118,"NM_001276252","NP_001263181","WDTC1","1",TRUE
"GeneID:9422","ZNF264","zinc finger protein 264","GeneID:9422","19",57191500,57222846,31347,"NM_003417","NP_003408","ZNF264","19",TRUE
"GeneID:102723331","LOC102723331","uncharacterized LOC102723331","GeneID:102723331","4",168863387,168864882,1496,"XR_427627","","LOC102723331","4",TRUE
"GeneID:367","AR","androgen receptor","GeneID:367","X",67544032,67730619,186588,"NM_000044","NP_000035","AR","X",FALSE
"GeneID:102724215","LOC102724215","","GeneID:102724215","8",138492936,138499902,6967,"XM_006716711","XP_006716774","LOC102724215",NA,FALSE
"GeneID:56146","PCDHA2","protocadherin alpha 2","GeneID:56146","5",140794859,141012344,217486,"NM_018905","NP_061728","PCDHA2","5",TRUE
"GeneID:2990","GUSB","glucuronidase, beta","GeneID:2990","7",65960684,65982314,21631,"NM_000181","NP_000172","GUSB","7",TRUE
"GeneID:100873757","RNU6-36P","RNA, U6 small nuclear 36, pseudogene","GeneID:100873757","12",97721716,97721822,107,"NR_046494","","RNU6-36P","12",TRUE
"GeneID:101927940","LOC101927940","uncharacterized LOC101927940","GeneID:101927940","6",118574547,118576830,2284,"XR_245584","","LOC101927940",NA,FALSE
"GeneID:101927775","","","GeneID:101927775","22",49414524,49441216,26693,"XR_244451","","",NA,FALSE
"GeneID:9056","SLC7A7","solute carrier family 7 (amino acid transporter light chain, y+L system), member 7","GeneID:9056","14",22773222,22819811,46590,"NM_001126106","NP_001119578","SLC7A7","14",TRUE
"GeneID:100270680","CASC11","cancer susceptibility candidate 11 (non-protein coding)","GeneID:100270680","8",127730194,127733967,3774,"NR_117101","","CASC11","8",TRUE
"GeneID:388436","LOC388436","uncharacterized protein ENSP00000382042","GeneID:388436","17",19219326,19222527,3202,"XR_429856","","LOC388436","17",TRUE
"GeneID:100874100","STEAP2-AS1","STEAP2 antisense RNA 1","GeneID:100874100","7",89882353,90211635,329283,"NR_110029","","STEAP2-AS1","7",FALSE
"GeneID:26870","RNU1-2","RNA, U1 small nuclear 2","GeneID:26870","1",16895980,16896143,164,"NR_004427","","RNU1-2","1",FALSE
"GeneID:101929314","LOC101929314","uncharacterized LOC101929314","GeneID:101929314","9",128993666,129006511,12846,"XR_242683","","LOC101929314","9",FALSE
"GeneID:2678","GGT1","gamma-glutamyltransferase 1","GeneID:2678","22",24583750,24629005,45256,"NM_013430","NP_038347","GGT1","22",TRUE
"GeneID:147381","CBLN2","cerebellin 2 precursor","GeneID:147381","18",72536680,72544488,7809,"NM_182511","NP_872317","CBLN2","18",TRUE
"GeneID:3592","IL12A","interleukin 12A","GeneID:3592","3",159988836,159996019,7184,"NM_000882","NP_000873","IL12A","3",TRUE
"GeneID:79986","ZNF702P","zinc finger protein 702, pseudogene","GeneID:79986","19",52968251,52993531,25281,"NR_003578","","ZNF702P","19",TRUE
"GeneID:347918","EP400NL","EP400 N-terminal like","GeneID:347918","12",132084283,132126340,42058,"NR_003290","","EP400NL","12",TRUE
"GeneID:949","SCARB1","scavenger receptor class B, member 1","GeneID:949","12",124777628,124863973,86346,"NM_005505","NP_005496","SCARB1","12",TRUE
"GeneID:57048","PLSCR3","phospholipid scramblase 3","GeneID:57048","17",7389727,7394843,5117,"NM_001201576","NP_001188505","PLSCR3","17",FALSE
"GeneID:388555","IGFL3","IGF-like family member 3","GeneID:388555","19",46120071,46124674,4604,"NM_207393","NP_997276","IGFL3","19",TRUE
"GeneID:284729","ESPNP","espin pseudogene","GeneID:284729","1",16691218,16720157,28940,"NR_026567","","ESPNP","1",TRUE
"GeneID:102725116","LOC102725116","uncharacterized LOC102725116","GeneID:102725116","16",56108956,56132260,23305,"XR_433269","","LOC102725116","16",TRUE
"GeneID:101927010","LOC101927010","uncharacterized LOC101927010","GeneID:101927010","3",121988400,121990450,2051,"XR_241555","","LOC101927010","3",FALSE
"GeneID:255738","PCSK9","proprotein convertase subtilisin/kexin type 9","GeneID:255738","1",55039476,55064853,25378,"NM_174936","NP_777596","PCSK9","1",FALSE
"GeneID:134829","CLVS2","clavesin 2","GeneID:134829","6",122995971,123072920,76950,"NM_001010852","NP_001010852","CLVS2","6",TRUE
"GeneID:5295","PIK3R1","phosphoinositide-3-kinase, regulatory subunit 1 (alpha)","GeneID:5295","5",68215756,68301821,86066,"NM_181523","NP_852664","PIK3R1","5",TRUE
"GeneID:92345","NAF1","nuclear assembly factor 1 ribonucleoprotein","GeneID:92345","4",163128669,163166921,38253,"NM_138386","NP_612395","NAF1","4",TRUE
"GeneID:10517","FBXW10","F-box and WD repeat domain containing 10","GeneID:10517","17",18744013,18779349,35337,"NM_001267585","NP_001254514","FBXW10","17",TRUE
"GeneID:643749","TRAF3IP2-AS1","TRAF3IP2 antisense RNA 1","GeneID:643749","6",111483472,111503608,20137,"NR_034111","","TRAF3IP2-AS1","6",FALSE
"GeneID:677815","SNORA34","small nucleolar RNA, H/ACA box 34","GeneID:677815","12",48654382,48654518,137,"NR_002968","","SNORA34","12",TRUE
"GeneID:100422980","MIR4323","microRNA 4323","GeneID:100422980","19",42133445,42133513,69,"NR_036208","","MIR4323","19",FALSE
"GeneID:693144","MIR559","microRNA 559","GeneID:693144","2",47377675,47377770,96,"NR_030286","","MIR559","2",TRUE
"GeneID:245802","MS4A6E","membrane-spanning 4-domains, subfamily A, member 6E","GeneID:245802","11",60334882,60340968,6087,"NM_139249","NP_640342","MS4A6E","11",TRUE
"GeneID:101926908","LOC101926908","uncharacterized LOC101926908","GeneID:101926908","8",72732045,72751843,19799,"XR_242482","","LOC101926908","8",TRUE
"GeneID:440695","ETV3L","ets variant 3-like","GeneID:440695","1",157092043,157099808,7766,"NM_001004341","NP_001004341","ETV3L","1",FALSE
"GeneID:102466984","MIR6801","microRNA 6801","GeneID:102466984","19",52222020,52222098,79,"NR_106859","","MIR6801","19",TRUE
"GeneID:23168","RTF1","Rtf1, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae)","GeneID:23168","15",41417104,41483563,66460,"NM_015138","NP_055953","RTF1","15",TRUE
"GeneID:729759","OR4F29","olfactory receptor, family 4, subfamily F, member 29","GeneID:729759","1",450740,451678,939,"NM_001005221","NP_001005221","OR4F29","1",FALSE
"GeneID:5924","RASGRF2","Ras protein-specific guanine nucleotide-releasing factor 2","GeneID:5924","5",80960689,81230162,269474,"NM_006909","NP_008840","RASGRF2","5",TRUE
"GeneID:100422975","MIR4252","microRNA 4252","GeneID:100422975","1",6429834,6429896,63,"NR_036218","","MIR4252","1",TRUE
"GeneID:100507173","LINC01012","long intergenic non-protein coding RNA 1012","GeneID:100507173","6",27694079,27709157,15079,"NR_038292","","LINC01012","6",FALSE
"GeneID:442914","MIR369","microRNA 369","GeneID:442914","14",101065598,101065667,70,"NR_029862","","MIR369","14",TRUE
"GeneID:10253","SPRY2","sprouty homolog 2 (Drosophila)","GeneID:10253","13",80335976,80340951,4976,"NM_005842","NP_005833","SPRY2","13",TRUE
"GeneID:368","ABCC6","ATP-binding cassette, sub-family C (CFTR/MRP), member 6","GeneID:368","16",16149565,16223471,73907,"NM_001171","NP_001162","ABCC6","16",TRUE
"GeneID:112802","KRT71","keratin 71","GeneID:112802","12",52543909,52553147,9239,"NM_033448","NP_258259","KRT71","12",TRUE
"GeneID:9170","LPAR2","lysophosphatidic acid receptor 2","GeneID:9170","19",19623655,19628230,4576,"NM_004720","NP_004711","LPAR2","19",TRUE
"GeneID:5304","PIP","prolactin-induced protein","GeneID:5304","7",143132081,143139741,7661,"NM_002652","NP_002643","PIP","7",TRUE
"GeneID:100049076","GUSBP9","","GeneID:100049076","5",71202197,71208130,5934,"NR_033968","","GUSBP9","5",FALSE
"GeneID:57117","INTS12","integrator complex subunit 12","GeneID:57117","4",105682627,105708724,26098,"NM_001142471","NP_001135943","INTS12","4",FALSE
"GeneID:101929805","LOC101929805","myomegalin-like","GeneID:101929805","1",145139763,145156960,17198,"XM_005277496","XP_005277553","LOC101929805",NA,TRUE
"GeneID:51124","IER3IP1","immediate early response 3 interacting protein 1","GeneID:51124","18",47155019,47176374,21356,"NM_016097","NP_057181","IER3IP1","18",TRUE
"GeneID:55732","C1orf112","chromosome 1 open reading frame 112","GeneID:55732","1",169795409,169853088,57680,"NM_018186","NP_060656","C1orf112","1",TRUE
"GeneID:102723563","LOC102723563","formin-like protein 5-like","GeneID:102723563","14",23055749,23058877,3129,"XM_006720350","XP_006720413","LOC102723563",NA,TRUE
"GeneID:84231","TRAF7","TNF receptor-associated factor 7, E3 ubiquitin protein ligase","GeneID:84231","16",2155798,2178129,22332,"NM_032271","NP_115647","TRAF7","16",TRUE
"GeneID:348235","SKA2","spindle and kinetochore associated complex subunit 2","GeneID:348235","17",59109947,59155439,45493,"NM_001100595","NP_001094065","SKA2","17",FALSE
"GeneID:60496","AASDHPPT","aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase","GeneID:60496","11",106077565,106098692,21128,"NM_015423","NP_056238","AASDHPPT","11",TRUE
"GeneID:81572","PDRG1","p53 and DNA-damage regulated 1","GeneID:81572","20",31944955,31952080,7126,"NM_030815","NP_110442","PDRG1","20",FALSE
"GeneID:100533997","MAGEA10-MAGEA5","MAGEA10-MAGEA5 readthrough","GeneID:100533997","X",152114049,152138578,24530,"NM_001204811","NP_001191740","MAGEA10-MAGEA5","X",TRUE
"GeneID:445","ASS1","argininosuccinate synthase 1","GeneID:445","9",130444707,130501274,56568,"NM_000050","NP_000041","ASS1","9",FALSE
"GeneID:89882","TPD52L3","tumor protein D52-like 3","GeneID:89882","9",6328349,6330920,2572,"NM_033516","NP_277051","TPD52L3","9",FALSE
"GeneID:102724010","LOC102724010","uncharacterized LOC102724010","GeneID:102724010","12",130412796,130430661,17866,"XR_429204","","LOC102724010",NA,TRUE
"GeneID:100313886","MIR2116","microRNA 2116","GeneID:100313886","15",59171183,59171262,80,"NR_031750","","MIR2116","15",TRUE
"GeneID:8936","WASF1","WAS protein family, member 1","GeneID:8936","6",110099819,110180004,80186,"NM_001024936","NP_001020107","WASF1","6",FALSE
"GeneID:101927313","LOC101927313","uncharacterized LOC101927313","GeneID:101927313","16",50856613,50879720,23108,"XR_243446","","LOC101927313","16",TRUE
"GeneID:101928863","LOC101928863","uncharacterized LOC101928863","GeneID:101928863","X",147283734,147286463,2730,"XR_244521","","LOC101928863","X",TRUE
"GeneID:254896","LOC254896","uncharacterized LOC254896","GeneID:254896","8",23084355,23103558,19204,"NR_046173","","LOC254896","8",FALSE
"GeneID:4049","LTA","","GeneID:4049","6",31572099,31574324,2226,"NM_001159740","NP_001153212","LTA","6",FALSE
"GeneID:89822","KCNK17","potassium channel, subfamily K, member 17","GeneID:89822","6",39299001,39314460,15460,"NM_031460","NP_113648","KCNK17","6",TRUE
"GeneID:100873962","LINC00278","long intergenic non-protein coding RNA 278","GeneID:100873962","Y",3002996,3102272,99277,"NR_046502","","LINC00278","Y",FALSE
"GeneID:51266","CLEC1B","C-type lectin domain family 1, member B","GeneID:51266","12",9993061,9999300,6240,"NM_016509","NP_057593","CLEC1B","12",TRUE
"GeneID:100033437","SNORD115-2","small nucleolar RNA, C/D box 115-2","GeneID:100033437","15",25172635,25172716,82,"NR_003294","","SNORD115-2","15",TRUE
"GeneID:56977","STOX2","storkhead box 2","GeneID:56977","4",183905356,184017722,112367,"NM_020225","NP_064610","STOX2","4",FALSE
